index,binder_name,page_number,slot_number,card_id,card_name,set_id,set_name,card_number,card_market_value
1-1-1,1,1,1,base1-1,Alakazam,base1,Base,1,54.74
1-1-2,1,1,2,base1-2,Blastoise,base1,Base,2,158.39
1-1-3,1,1,3,base1-3,Chansey,base1,Base,3,28.57
1-1-4,1,1,4,base1-4,Charizard,base1,Base,4,458.43
1-1-5,1,1,5,base1-5,Clefairy,base1,Base,5,26.02
1-1-6,1,1,6,base1-6,Gyarados,base1,Base,6,32.77
1-1-7,1,1,7,base1-7,Hitmonchan,base1,Base,7,18.59
1-1-8,1,1,8,base1-8,Machamp,base1,Base,8,0.0
1-1-9,1,1,9,base1-9,Magneton,base1,Base,9,20.41
1-2-1,1,2,1,base1-10,Mewtwo,base1,Base,10,38.79
1-2-2,1,2,2,base1-11,Nidoking,base1,Base,11,28.74
1-2-3,1,2,3,base1-12,Ninetales,base1,Base,12,23.15
1-2-4,1,2,4,base1-13,Poliwrath,base1,Base,13,20.71
1-2-5,1,2,5,base1-14,Raichu,base1,Base,14,43.45
1-2-6,1,2,6,base1-15,Venusaur,base1,Base,15,119.49
1-2-7,1,2,7,base1-16,Zapdos,base1,Base,16,36.66
1-2-8,1,2,8,base1-17,Beedrill,base1,Base,17,4.03
1-2-9,1,2,9,base1-18,Dragonair,base1,Base,18,13.43
1-3-1,1,3,1,base1-19,Dugtrio,base1,Base,19,6.5
1-3-2,1,3,2,base1-20,Electabuzz,base1,Base,20,7.36
1-3-3,1,3,3,base1-21,Electrode,base1,Base,21,6.87
1-3-4,1,3,4,base1-22,Pidgeotto,base1,Base,22,9.07
1-3-5,1,3,5,base1-23,Arcanine,base1,Base,23,2.81
1-3-6,1,3,6,base1-24,Charmeleon,base1,Base,24,1.78
1-3-7,1,3,7,base1-25,Dewgong,base1,Base,25,2.24
1-3-8,1,3,8,base1-26,Dratini,base1,Base,26,1.72
1-3-9,1,3,9,base1-27,Farfetch'd,base1,Base,27,1.1
1-4-1,1,4,1,base1-28,Growlithe,base1,Base,28,1.01
1-4-2,1,4,2,base1-29,Haunter,base1,Base,29,1.47
1-4-3,1,4,3,base1-30,Ivysaur,base1,Base,30,2.15
1-4-4,1,4,4,base1-31,Jynx,base1,Base,31,0.72
1-4-5,1,4,5,base1-32,Kadabra,base1,Base,32,1.39
1-4-6,1,4,6,base1-33,Kakuna,base1,Base,33,1.03
1-4-7,1,4,7,base1-34,Machoke,base1,Base,34,0.63
1-4-8,1,4,8,base1-35,Magikarp,base1,Base,35,1.98
1-4-9,1,4,9,base1-36,Magmar,base1,Base,36,2.77
1-5-1,1,5,1,base1-37,Nidorino,base1,Base,37,1.82
1-5-2,1,5,2,base1-38,Poliwhirl,base1,Base,38,1.38
1-5-3,1,5,3,base1-39,Porygon,base1,Base,39,2.04
1-5-4,1,5,4,base1-40,Raticate,base1,Base,40,2.09
1-5-5,1,5,5,base1-41,Seel,base1,Base,41,1.01
1-5-6,1,5,6,base1-42,Wartortle,base1,Base,42,2.53
1-5-7,1,5,7,base1-43,Abra,base1,Base,43,0.58
1-5-8,1,5,8,base1-44,Bulbasaur,base1,Base,44,1.85
1-5-9,1,5,9,base1-45,Caterpie,base1,Base,45,0.86
1-6-1,1,6,1,base1-46,Charmander,base1,Base,46,1.59
1-6-2,1,6,2,base1-47,Diglett,base1,Base,47,0.43
1-6-3,1,6,3,base1-48,Doduo,base1,Base,48,1.14
1-6-4,1,6,4,base1-49,Drowzee,base1,Base,49,0.42
1-6-5,1,6,5,base1-50,Gastly,base1,Base,50,0.55
1-6-6,1,6,6,base1-51,Koffing,base1,Base,51,0.41
1-6-7,1,6,7,base1-52,Machop,base1,Base,52,0.32
1-6-8,1,6,8,base1-53,Magnemite,base1,Base,53,0.52
